"id","Cluster","Quality"
1,5,5
2,2,5
3,7,5
4,9,6
5,5,5
6,5,5
7,1,5
8,1,7
9,1,7
11,2,5
13,5,5
17,8,7
21,8,6
22,8,5
23,1,5
24,2,5
25,8,6
26,1,5
27,1,5
28,1,5
29,5,5
30,1,6
31,2,5
32,5,6
33,2,5
35,1,5
37,1,6
38,1,7
42,7,4
45,5,5
47,2,5
48,9,5
49,1,5
50,8,5
51,7,5
52,1,6
53,1,6
54,10,5
55,2,6
57,9,5
59,5,5
60,1,6
61,8,5
62,2,5
63,1,7
64,5,5
67,1,5
68,5,5
69,8,5
70,5,6
71,1,6
72,2,5
73,2,5
74,7,4
75,10,5
76,9,5
77,9,5
78,5,6
79,2,5
81,1,5
83,8,5
85,8,6
86,1,5
88,1,5
90,5,5
94,1,5
97,5,5
98,1,5
99,7,5
100,1,6
101,7,6
102,1,6
103,1,6
104,2,5
105,1,5
106,2,5
108,5,5
109,8,6
111,1,5
112,2,5
113,2,5
114,10,6
115,1,5
116,9,6
117,1,6
118,1,6
119,1,6
120,2,6
122,1,6
123,5,5
124,5,5
125,2,5
129,5,7
130,1,5
132,3,5
133,3,5
134,1,6
136,2,5
137,7,5
138,8,5
139,2,5
140,2,5
141,2,5
142,7,5
144,1,5
147,4,5
149,1,6
150,8,6
151,6,6
153,2,5
154,2,5
159,5,5
160,5,6
161,7,5
163,1,6
166,2,5
167,2,5
168,1,4
169,5,6
171,7,4
172,1,6
173,1,6
174,4,6
175,1,5
176,1,5
177,1,5
178,5,6
179,5,5
180,7,5
181,7,5
183,5,5
184,5,5
185,5,6
186,10,5
187,8,5
188,7,5
192,8,6
194,1,5
195,1,5
196,2,5
197,5,5
198,9,6
199,3,7
201,9,7
203,1,5
204,1,5
205,1,6
208,2,5
209,2,5
210,9,7
212,7,6
213,9,6
214,2,5
215,7,6
217,7,5
218,7,5
219,1,5
221,8,6
222,2,5
223,1,5
224,7,6
225,7,4
226,8,6
228,7,5
229,8,6
230,1,5
231,3,7
232,1,6
233,8,6
234,1,5
235,7,6
236,5,6
237,5,6
238,5,6
239,5,6
240,7,6
242,9,6
243,2,6
246,5,6
247,5,5
248,2,5
249,1,6
250,5,6
251,9,6
252,5,6
253,9,5
254,2,5
255,5,6
256,2,5
257,9,5
258,5,5
260,9,7
261,8,5
262,7,4
263,1,5
264,8,5
266,9,7
267,5,4
268,6,8
274,7,5
281,9,6
283,1,5
285,10,5
